AffyID;logFC;AveExpr;t;P.Value;adj.P.Val;B
10380067;3,336234678;8,347431975;13,8135402;2,73E-07;1,47E-05;7,590031442
10601701;3,060840126;8,052488807;13,72452333;2,88E-07;1,54E-05;7,534580277
10564183;3,874916291;6,070502819;13,68178197;2,96E-07;1,55E-05;7,50781741
10362363;3,796955746;7,485991134;13,66762482;2,99E-07;1,55E-05;7,498932936
10397645;-3,070570768;6,597116546;-13,583503;3,15E-07;1,60E-05;7,445936364
10428388;-3,311169758;8,994016825;-13,58118237;3,15E-07;1,60E-05;7,444469375
10435704;-3,039202131;7,10335178;-13,47983435;3,36E-07;1,68E-05;7,38013874
10522208;3,31702873;9,774927344;13,45604078;3,41E-07;1,68E-05;7,364960714
10358662;-3,236445512;8,3733623;-13,28866947;3,79E-07;1,75E-05;7,257377657
10523128;-3,757428401;7,160085765;-13,20765501;3,99E-07;1,75E-05;7,204784147
10606789;3,604586308;6,621071977;13,20190848;4,01E-07;1,75E-05;7,201040582
10598493;3,26360523;9,112275204;13,19139912;4,03E-07;1,75E-05;7,19418982
10560242;-3,213745733;8,012089353;-13,1771994;4,07E-07;1,75E-05;7,184924221
10564163;3,977956727;6,064355735;13,14963921;4,14E-07;1,75E-05;7,166910437
10564167;3,977956727;6,064355735;13,14963921;4,14E-07;1,75E-05;7,166910437
10564171;3,977956727;6,064355735;13,14963921;4,14E-07;1,75E-05;7,166910437
10564173;3,977956727;6,064355735;13,14963921;4,14E-07;1,75E-05;7,166910437
10564175;3,977956727;6,064355735;13,14963921;4,14E-07;1,75E-05;7,166910437
10564179;3,977956727;6,064355735;13,14963921;4,14E-07;1,75E-05;7,166910437
10564181;3,977956727;6,064355735;13,14963921;4,14E-07;1,75E-05;7,166910437
10564185;3,977956727;6,064355735;13,14963921;4,14E-07;1,75E-05;7,166910437
10564187;3,977956727;6,064355735;13,14963921;4,14E-07;1,75E-05;7,166910437
10564189;3,977956727;6,064355735;13,14963921;4,14E-07;1,75E-05;7,166910437
10564191;3,977956727;6,064355735;13,14963921;4,14E-07;1,75E-05;7,166910437
10564193;3,977956727;6,064355735;13,14963921;4,14E-07;1,75E-05;7,166910437
10564195;3,977956727;6,064355735;13,14963921;4,14E-07;1,75E-05;7,166910437
10564197;3,977956727;6,064355735;13,14963921;4,14E-07;1,75E-05;7,166910437
10564199;3,977956727;6,064355735;13,14963921;4,14E-07;1,75E-05;7,166910437
10564201;3,977956727;6,064355735;13,14963921;4,14E-07;1,75E-05;7,166910437
10564205;3,977956727;6,064355735;13,14963921;4,14E-07;1,75E-05;7,166910437
10564207;3,977956727;6,064355735;13,14963921;4,14E-07;1,75E-05;7,166910437
10550400;3,960964345;8,935273313;13,14195646;4,17E-07;1,75E-05;7,161881747
10358457;3,957252781;6,74569151;13,09946317;4,28E-07;1,79E-05;7,134011805
10595211;-3,408026059;10,18478395;-13,0846465;4,32E-07;1,80E-05;7,124271575
10599187;3,747412984;7,544989809;13,02481827;4,49E-07;1,84E-05;7,084822787
10476355;4,915155115;8,497667792;12,98848102;4,60E-07;1,87E-05;7,060769867
10463732;3,980846552;8,148555519;12,97703468;4,63E-07;1,87E-05;7,053178462
10368289;-3,211876284;8,975775302;-12,89631845;4,89E-07;1,94E-05;6,999445468
10601850;3,851661794;7,15197163;12,84565171;5,05E-07;1,99E-05;6,965535925
10489179;5,542619917;9,602749375;12,77296466;5,30E-07;2,05E-05;6,916643652
10406229;3,855981948;7,598782461;12,73399837;5,44E-07;2,09E-05;6,890313516
10409999;3,725406734;8,144271986;12,71459898;5,51E-07;2,10E-05;6,877173685
10360070;-3,165987134;8,499836486;-12,71143827;5,52E-07;2,10E-05;6,875030856
10564161;3,905164616;6,091475673;12,70065954;5,56E-07;2,10E-05;6,867719148
10513512;5,987758889;6,232246082;12,67787932;5,64E-07;2,13E-05;6,852244991
10564159;3,724975358;6,196985281;12,66340421;5,70E-07;2,14E-05;6,842397287
10588283;3,497772647;9,147435184;12,59353577;5,97E-07;2,18E-05;6,794699246
10463737;4,200033694;8,011165376;12,42959808;6,66E-07;2,38E-05;6,681696155
10555323;-3,083206735;8,162363593;-12,42731841;6,68E-07;2,38E-05;6,680113923
10461723;-3,347777855;8,328329462;-12,40178591;6,79E-07;2,40E-05;6,66237237
10564177;3,714450842;6,144629906;12,374206;6,92E-07;2,41E-05;6,643165813
10564165;3,50727789;6,166988014;12,35578239;7,01E-07;2,42E-05;6,630311098
10569008;5,761044844;9,399772328;12,2546776;7,51E-07;2,56E-05;6,559414627
10603843;3,226305014;7,68563732;12,24397749;7,56E-07;2,57E-05;6,551876423
10387536;-3,3545049;9,487326023;-12,17654153;7,92E-07;2,63E-05;6,504212174
10476592;3,128344389;8,878125268;12,15254315;8,06E-07;2,66E-05;6,487184782
10358571;-3,200314695;7,755264384;-12,08256766;8,46E-07;2,76E-05;6,437338983
10342516;-3,321157848;5,30604485;-12,01064998;8,89E-07;2,87E-05;6,385802404
10595496;3,463362811;8,707444794;11,93824625;9,35E-07;2,96E-05;6,333599921
10381574;3,052174304;8,590156873;11,88485866;9,71E-07;3,03E-05;6,294902047
10375019;3,242474856;8,043502955;11,87974546;9,74E-07;3,03E-05;6,291186528
10541614;-3,501980087;7,40142962;-11,82762982;1,01E-06;3,09E-05;6,253224233
10512807;3,07581844;7,91754568;11,79990479;1,03E-06;3,14E-05;6,232959817
10456237;3,711337623;7,805869986;11,71010414;1,10E-06;3,26E-05;6,166993305
10560311;3,739783293;8,362243571;11,6564523;1,14E-06;3,34E-05;6,127338369
10533401;3,789856727;7,737950755;11,6176901;1,17E-06;3,40E-05;6,098574641
10358559;-3,142906621;8,183921837;-11,51112722;1,27E-06;3,59E-05;6,019001947
10534667;-3,168897107;9,228425636;-11,45354861;1,32E-06;3,68E-05;5,975700742
10472860;3,057457393;7,559742618;11,42148595;1,35E-06;3,75E-05;5,951494559
10490665;3,627293376;8,087628132;11,39535112;1,38E-06;3,79E-05;5,931713735
10361023;3,829020429;7,714232238;11,32404266;1,45E-06;3,93E-05;5,877512591
10384015;3,115911849;8,530688757;11,29268196;1,49E-06;4,01E-05;5,853568551
10385466;-3,033499851;7,912698778;-11,27064467;1,51E-06;4,05E-05;5,836703669
10358666;-3,548080186;8,957478073;-11,13012641;1,68E-06;4,32E-05;5,728396988
10564169;3,058781643;6,228606635;11,11665592;1,70E-06;4,35E-05;5,717943939
10358557;-3,084753946;6,969905587;-11,08132001;1,74E-06;4,42E-05;5,690464336
10457929;4,075184566;7,608086785;11,05160417;1,78E-06;4,47E-05;5,66728883
10476588;3,01856908;7,723865738;11,01074609;1,84E-06;4,55E-05;5,635323836
10545041;3,924456004;8,38620094;10,96665668;1,90E-06;4,65E-05;5,600700792
10498885;3,554499155;6,352440345;10,94706566;1,93E-06;4,70E-05;5,5852726
10368495;-3,364321537;8,982251964;-10,91772045;1,97E-06;4,78E-05;5,562112544
10542355;-3,169394472;9,280779829;-10,90554087;1,99E-06;4,82E-05;5,552482314
10431051;3,306642974;8,548132248;10,88712088;2,02E-06;4,86E-05;5,537898018
10527732;3,029805667;7,700942905;10,84318639;2,08E-06;4,94E-05;5,503015394
10423230;3,669236597;6,907187228;10,79835049;2,16E-06;5,02E-05;5,467275698
10554814;-3,076789372;11,03825168;-10,66943997;2,38E-06;5,34E-05;5,363714599
10577996;3,518950792;8,790356895;10,5442418;2,63E-06;5,63E-05;5,261978543
10504132;3,287185859;8,601970013;10,5295352;2,66E-06;5,65E-05;5,249952183
10461622;-3,191515838;7,048772315;-10,45845039;2,81E-06;5,81E-05;5,191595555
10358519;-3,24701003;7,042247636;-10,42088651;2,90E-06;5,93E-05;5,160605061
10358668;-3,789004602;9,08522368;-10,39002504;2,97E-06;6,04E-05;5,135064603
10358521;-3,603516161;7,693807282;-10,34503296;3,07E-06;6,21E-05;5,09770071
10358658;-3,408088636;8,023865675;-10,3066891;3,17E-06;6,33E-05;5,065736274
10604175;3,083425586;8,168762854;10,25915269;3,29E-06;6,49E-05;5,025952394
10469255;4,077327974;7,410395673;10,21386174;3,42E-06;6,63E-05;4,987885829
10358605;-3,093196421;7,500739458;-10,21310205;3,42E-06;6,63E-05;4,987245965
