"";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"10351679";-3,43450142593815;6,54304394964272;-18,1909285023592;2,57851408268983e-08;4,07887323487427e-06;9,90965677155637
"10553430";3,89288179587772;8,01121190381428;18,1852146379836;2,58552202384036e-08;4,07887323487427e-06;9,90707266333115
"10597323";3,22169430548024;7,37712494292884;18,0163476257366;2,80249381254017e-08;4,295063362012e-06;9,83025052827163
"10536334";4,08663579218897;7,56406047825028;17,7948197867911;3,11839496995334e-08;4,69820557422292e-06;9,72812956416954
"10363070";-4,12025231946149;7,60025856351181;-17,6460361597269;3,35269980516829e-08;4,96702476135682e-06;9,65867250506384
"10483228";4,13112798641081;6,90306518841011;17,5590948869348;3,49862317948044e-08;5,04183479280804e-06;9,61775696306167
"10532180";3,35915033029527;8,46169357036785;17,5345413927155;3,54110089263738e-08;5,04183479280804e-06;9,6061575527352
"10540085";-3,35914971450251;9,37663585068375;-17,5161144370228;3,57335574245592e-08;5,04183479280804e-06;9,59743954447188
"10452316";3,58403476507831;10,5337100646603;17,1833554625726;4,21573647841578e-08;5,7127181377241e-06;9,43808609480735
"10513437";7,09278830951388;7,60661374016535;17,1783235722255;4,22638675582987e-08;5,7127181377241e-06;9,43564811693252
"10510260";3,70978222464385;8,895832296846;17,1711413058081;4,24164019675769e-08;5,7127181377241e-06;9,43216679392768
"10548940";3,58564835725792;8,04475942571575;17,0698864047527;4,46331420912037e-08;5,88973966446175e-06;9,38290194456297
"10416175";3,70987410550942;7,84088071353772;17,0512082436691;4,5055945233817e-08;5,88973966446175e-06;9,37377621160123
"10461878";3,33128653070642;9,80251130579513;17,0088764902;4,60307283119686e-08;5,92995860818969e-06;9,35304980208759
"10417628";4,98050090964185;7,26493044675147;16,8525484648913;4,98387371336834e-08;6,26119733226819e-06;9,27597499176779
"10460947";4,00124634693218;8,15805526586173;16,8335966992853;5,03236779932438e-08;6,26119733226819e-06;9,26657364252002
